CreditScore,Region,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
683,East India,Male,32,5,275138.38,1,1,0,553362.73,0
728,South India,Male,27,0,572159.84,2,0,1,461172.98,0
595,West India,Male,34,4,768439.71,1,0,1,213456.9,0
673,North India,Male,40,4,3378392.96,4,1,1,371265.43,1
712,East India,Female,56,5,0.0,3,1,0,829622.84,0
771,West India,Female,37,4,0.0,1,1,1,2129570.0,0
653,West India,Male,38,8,316363.38,2,1,0,407583.77,1
630,South India,Female,35,5,0.0,1,1,0,413981.12,0
645,South India,Female,18,10,0.0,1,1,1,245550.83,0
542,South India,Male,35,8,686019.62,2,1,1,532189.1,1
719,West India,Female,36,3,0.0,2,1,1,689154.08,0
518,West India,Male,63,2,716238.78,1,0,0,609771.31,1
685,North India,Male,33,5,4668737.05,3,1,1,588086.7,0
657,East India,Male,39,0,0.0,1,0,0,560854.51,0
510,East India,Male,35,9,24511.0,2,1,0,387792.76,0
515,South India,Male,23,4,2978894.51,2,1,0,980400.96,0
573,North India,Female,48,1,313579.62,1,1,0,250569.87,0
619,West India,Female,44,5,762035.51,2,1,0,572653.67,0
783,South India,Male,44,2,2976153.31,4,1,0,403014.17,0
640,West India,Male,25,8,223759.86,1,1,0,731382.42,0
699,West India,Male,51,1,508724.21,1,1,1,576836.6,0
763,North India,Male,20,0,639560.56,2,1,1,1384040.2,1
746,South India,Male,42,6,787976.55,2,0,1,620452.31,0
649,South India,Male,60,4,0.0,2,1,1,279478.73,0
586,East India,Male,25,0,568558.42,1,1,1,582955.78,0
694,North India,Male,29,4,312368.07,1,1,1,666171.27,0
588,North India,Male,37,3,1509513.64,2,1,1,1994023.2,0
813,West India,Female,30,0,0.0,2,1,1,734942.32,0
728,North India,Male,18,7,0.0,1,0,0,367356.14,0
668,West India,Male,36,3,513631.77,1,1,1,1055365.94,0
696,North India,Male,24,9,237371.93,2,1,1,1421098.06,0
666,South India,Female,41,6,429927.91,2,0,1,683318.89,0
616,South India,Female,25,5,49288.28,1,1,1,293670.14,0
694,South India,Female,53,8,0.0,1,0,0,721019.3,1
628,East India,Female,27,0,0.0,1,1,0,1613960.94,0
824,North India,Male,32,9,0.0,1,0,0,1135635.76,0
587,South India,Female,44,8,115869.19,2,1,0,1754904.2,0
695,South India,Male,22,7,0.0,1,1,1,736073.4,0
579,South India,Male,38,10,882447.16,2,1,1,1696216.9,0
578,South India,Female,50,4,897779.4,1,1,1,503877.27,1
489,North India,Male,18,2,268163.73,1,0,1,230178.45,0
687,East India,Female,38,9,0.0,1,1,0,251619.58,0
602,South India,Male,38,1,395458.24,2,0,0,1041641.15,0
747,North India,Female,44,8,532325.23,1,1,1,722769.89,0
687,South India,Male,22,2,328768.79,3,1,0,845362.55,0
663,North India,Male,21,3,938981.05,1,1,1,1087549.78,0
523,North India,Female,41,5,0.0,1,1,1,393232.34,0
702,North India,Female,39,4,282450.62,1,1,1,1120482.94,0
590,North India,Female,38,5,648843.67,2,1,0,236081.46,0
521,North India,Female,39,1,0.0,2,0,1,956982.16,0
688,South India,Female,28,4,27258.51,1,1,0,430340.4,0
536,South India,Male,38,3,627489.96,1,0,0,801437.84,0
461,South India,Male,39,0,163411.51,2,1,1,545497.86,0
766,North India,Male,28,3,0.0,1,0,0,428761.22,0
599,East India,Male,56,10,0.0,2,1,0,1572622.69,0
492,West India,Female,41,1,645498.32,1,0,0,516990.6,0
563,East India,Male,22,6,758771.82,4,0,0,708552.06,0
585,South India,Female,43,6,1544470.77,2,0,0,726260.27,1
752,West India,Male,25,4,321074.05,2,1,1,644435.84,0
500,North India,Female,44,0,0.0,3,1,1,1049213.34,0
529,West India,Male,48,0,563033.93,2,1,0,541399.1,1
738,North India,Male,26,10,197604.48,2,1,0,190647.69,0
609,North India,Female,46,6,572241.36,3,1,1,1547106.56,0
670,South India,Male,40,9,0.0,3,1,1,327341.8,0
605,South India,Male,45,0,625009.92,3,0,1,362067.68,0
831,South India,Male,56,1,347470.38,2,1,0,718170.65,0
533,North India,Male,33,3,2583549.79,1,1,0,374797.8,1
675,South India,Male,27,4,177363.07,4,1,1,799743.16,0
785,East India,Female,26,10,20029.17,2,1,1,266856.22,0
616,West India,Male,27,0,235468.39,2,1,1,466147.94,0
582,South India,Male,35,0,346280.4,2,0,0,789447.36,1
719,South India,Male,39,2,45765.96,2,0,1,876973.8,0
740,North India,Female,39,0,0.0,2,1,0,632738.49,0
578,North India,Female,45,2,842457.3,1,0,1,1196877.05,0
781,North India,Male,36,4,0.0,1,1,1,597932.28,0
654,South India,Male,51,2,0.0,2,0,1,288818.67,1
695,West India,Male,33,9,0.0,1,0,1,737560.8,0
783,South India,Female,65,7,0.0,1,1,0,316075.22,0
719,North India,Female,42,4,301785.67,1,1,0,1181155.36,0
649,South India,Female,26,10,190574.8,1,1,0,1268784.99,0
589,North India,Male,24,4,176622.74,1,1,0,931021.42,0
893,West India,Male,41,5,0.0,1,1,0,541688.29,0
578,North India,Male,33,3,0.0,2,1,0,374792.56,0
678,South India,Male,43,4,148375.21,1,0,0,379702.93,0
695,West India,Male,41,5,0.0,1,0,0,1517205.59,0
700,North India,Male,35,5,982046.83,1,0,0,408952.16,0
841,North India,Female,26,4,743086.0,1,0,0,905978.39,0
654,South India,Male,19,9,727472.42,1,1,1,543750.1,0
641,North India,Female,31,5,669918.12,3,0,1,447315.83,0
789,South India,Male,45,8,192351.86,1,1,1,199530.83,0
637,West India,Female,38,7,0.0,2,1,0,530361.81,0
728,North India,Female,22,3,0.0,1,1,1,2179144.98,0
667,South India,Female,37,1,0.0,2,0,1,286234.2,0
732,East India,Female,40,3,577275.55,1,1,1,733959.2,0
715,South India,Female,26,5,0.0,3,1,1,681140.57,0
613,East India,Male,37,9,486832.46,1,1,0,867182.0,0
484,North India,Male,36,6,434572.94,1,0,0,507114.72,0
499,West India,Female,23,10,609998.8,4,0,1,276881.29,0
484,West India,Female,39,3,919095.58,1,0,0,899371.45,0
641,West India,Female,42,10,69125.7,1,1,1,368270.24,1
438,North India,Male,47,10,336505.48,1,0,1,811498.91,0
635,North India,Male,47,2,212411.27,1,0,0,752282.38,0
662,North India,Female,20,0,1631685.75,3,0,0,488399.67,0
727,East India,Female,25,6,890324.67,1,1,0,982041.53,0
695,South India,Male,41,0,0.0,1,1,0,543914.18,0
731,East India,Male,41,7,0.0,1,1,0,963212.51,1
687,North India,Male,41,4,146002.6,1,1,1,670251.57,0
620,North India,Male,75,7,241552.12,1,1,1,825119.48,0
640,North India,Male,42,1,0.0,1,0,1,623259.27,1
573,South India,Male,48,2,85934.94,1,1,1,615534.19,0
670,West India,Female,46,3,0.0,1,0,1,527228.47,0
507,South India,Male,43,1,429789.21,1,0,1,372156.79,1
745,East India,Male,32,3,569335.28,2,0,0,597937.96,0
563,North India,Female,44,5,146082.0,3,1,1,879551.39,0
663,West India,Female,27,10,703889.3,2,1,0,397345.96,0
678,West India,Female,33,6,571641.75,1,1,1,1054428.89,0
754,North India,Male,30,5,227417.26,1,0,1,330863.93,0
498,North India,Female,36,6,170239.02,1,1,0,705431.12,0
620,South India,Male,61,1,349423.21,2,1,0,421500.18,0
699,North India,Female,18,0,222858.26,1,1,0,496601.0,0
807,East India,Female,43,8,365546.61,1,1,0,331971.95,0
646,East India,Male,18,6,1573063.91,2,1,0,825115.98,0
596,West India,Male,30,10,0.0,2,1,0,726408.13,0
832,West India,Male,47,1,517825.9,3,1,1,475225.63,0
722,North India,Female,36,6,238608.79,1,1,1,1549948.66,0
773,North India,Male,24,3,2321112.37,2,1,1,623698.11,0
541,West India,Female,28,2,249953.19,1,1,0,174158.83,0
696,South India,Male,43,3,283345.14,1,1,0,460618.01,1
552,West India,Male,27,4,784821.16,2,1,0,961509.97,1
532,West India,Female,38,8,169791.21,1,1,1,680634.61,0
702,South India,Female,36,3,0.0,1,0,0,654293.05,0
708,North India,Female,28,8,260867.8,1,0,1,1602527.76,0
606,West India,Male,59,3,2890087.82,1,0,0,440781.83,1
778,South India,Male,42,0,194576.25,2,0,0,435358.35,0
616,West India,Male,18,10,289793.16,3,1,1,523264.79,1
625,South India,Male,38,10,0.0,1,1,0,831840.07,0
646,North India,Male,28,10,577813.48,1,1,0,296587.57,0
628,North India,Female,45,0,589946.04,2,1,1,1430166.74,0
764,West India,Male,27,3,0.0,2,1,0,444332.25,0
556,South India,Male,34,3,387394.21,2,1,0,615298.67,0
582,South India,Male,41,9,596196.86,2,0,1,1069438.95,0
542,South India,Male,45,6,1250584.97,3,0,1,1202790.65,0
819,South India,Female,22,0,238531.09,1,1,0,698361.67,1
620,North India,Male,32,4,63788.57,2,1,1,547462.11,0
580,South India,Male,30,9,585064.57,2,1,1,532978.12,0
624,North India,Male,28,7,0.0,2,1,0,176686.28,0
726,South India,Female,55,7,1155246.34,2,0,0,383639.93,1
709,South India,Female,40,6,156723.53,1,0,1,546698.46,0
598,North India,Female,22,3,220070.81,1,0,1,809109.0,1
614,South India,Male,46,6,1300050.45,1,1,0,702813.1,0
519,South India,Male,59,0,68420.61,2,1,0,415946.66,1
662,North India,Female,47,5,232714.14,1,0,0,276281.16,0
765,East India,Female,19,6,778183.85,1,1,0,884144.65,0
597,North India,Female,30,2,33900.2,2,0,0,304753.67,0
707,South India,Female,49,7,96923.75,1,0,0,890369.7,1
597,North India,Male,28,7,0.0,4,1,1,612321.02,0
551,West India,Female,40,7,0.0,2,1,0,603740.94,0
711,East India,Female,44,10,174644.65,1,1,1,483820.65,0
861,South India,Female,25,4,0.0,1,0,0,806916.38,0
698,West India,Male,35,6,1873492.88,1,0,0,678640.36,1
612,North India,Male,18,4,1352430.75,1,0,1,767658.54,0
618,North India,Male,24,7,326536.54,1,0,1,930428.26,0
821,North India,Male,33,8,183885.83,1,1,0,861388.2,1
677,North India,Male,22,10,4972172.63,1,0,0,1086207.72,0
581,South India,Female,53,3,1256992.27,2,1,0,420552.3,0
644,South India,Male,20,3,0.0,1,1,1,913419.56,0
669,South India,Male,31,10,58528.57,2,0,0,955538.94,0
692,West India,Male,37,6,150914.86,2,1,0,251044.32,0
786,North India,Male,51,6,449620.13,1,1,1,586501.88,0
764,North India,Female,20,10,541592.74,1,1,0,250835.01,0
667,South India,Male,48,7,731327.32,2,1,0,466882.53,0
646,South India,Male,36,6,0.0,2,0,0,1112138.92,0
685,North India,Female,25,6,1008248.04,1,1,0,474330.93,0
595,North India,Female,41,5,0.0,2,1,1,1344478.03,0
738,South India,Male,38,5,1485590.24,1,0,1,450587.57,0
631,North India,Female,29,9,0.0,3,0,1,241730.17,0
694,West India,Female,36,2,133867.51,1,1,1,1227435.29,0
804,North India,Female,31,3,315661.56,1,1,0,513464.57,0
699,North India,Male,37,9,404505.54,2,1,1,460495.47,0
670,South India,Female,43,3,0.0,2,0,0,763742.49,1
603,East India,Male,53,8,195054.0,2,1,1,510792.92,0
642,South India,Male,22,5,311368.1,3,1,0,429039.71,0
547,South India,Male,59,9,2240720.97,1,1,0,615894.5,1
697,North India,Male,18,2,879119.32,1,1,1,940940.1,0
457,South India,Female,34,10,652048.04,1,1,0,684339.31,0
737,North India,Male,42,3,104997.78,1,0,1,486881.92,0
715,South India,Male,39,5,881320.29,3,1,0,444024.46,0
658,South India,Male,29,5,163598.89,2,1,0,631238.94,0
602,North India,Male,33,4,500766.99,2,0,1,1675633.77,0
648,North India,Female,30,0,0.0,3,1,0,721174.07,0
490,West India,Female,29,10,1710926.94,3,1,0,438180.68,1
724,South India,Female,45,9,1379408.48,2,1,1,739074.3,0
635,West India,Female,39,5,220238.91,2,1,1,290703.63,0
786,North India,Female,28,3,0.0,2,1,1,167299.13,0
685,West India,Female,45,7,497033.18,1,0,0,395707.2,0
670,North India,Male,39,9,555040.3,2,1,1,628040.0,0
686,North India,Female,44,0,0.0,1,1,1,679875.86,0
562,West India,Female,42,4,140879.04,1,1,0,524081.15,0
609,West India,Female,26,3,1215172.94,2,0,1,915859.31,0
661,North India,Female,29,4,844799.56,2,1,1,638777.99,1
622,West India,Female,44,8,764910.47,2,1,1,451610.69,0
598,West India,Female,42,6,88224.07,1,1,0,374652.75,0
624,North India,Female,35,2,0.0,2,1,1,441799.37,0
653,West India,Male,37,2,78065.37,1,1,1,567911.54,0
858,South India,Male,50,6,0.0,1,1,1,440596.74,0
620,South India,Female,29,0,0.0,2,0,1,336465.47,0
589,South India,Male,42,7,176115.26,2,1,1,197071.39,1
636,South India,Female,33,2,205085.58,1,0,1,315512.82,0
785,West India,Female,33,7,340679.23,2,1,0,334992.08,0
791,North India,Female,48,7,671613.31,1,1,1,271476.04,0
825,North India,Female,45,1,452385.13,1,0,0,797317.3,1
655,West India,Male,44,2,0.0,2,1,0,384028.31,0
707,West India,Female,50,9,0.0,1,0,0,1002215.35,0
555,South India,Male,36,0,229261.68,1,0,0,1112042.87,0
618,North India,Male,43,5,196270.46,1,0,0,509065.5,0
549,West India,Male,32,2,288902.08,1,1,0,591392.4,0
692,North India,Female,39,8,665551.06,2,1,1,551451.48,0
653,South India,Female,34,0,1491746.87,1,1,1,571114.81,0
670,North India,Female,37,7,76449.62,4,1,0,1203496.09,0
573,South India,Male,42,6,0.0,3,1,1,851124.5,0
726,North India,Male,26,6,2231012.38,1,1,1,336096.36,0
433,South India,Male,59,10,0.0,1,1,0,227656.58,0
627,West India,Male,24,7,4721081.15,1,1,0,1073261.23,1
640,South India,Female,22,8,328667.53,1,1,0,249055.63,0
468,North India,Male,48,7,539048.29,2,1,1,398338.86,0
684,North India,Female,44,5,301317.18,1,1,1,328492.39,0
634,North India,Female,42,0,1048139.29,1,1,1,814619.0,0
700,South India,Female,42,0,0.0,2,1,0,1689556.86,0
829,South India,Male,35,10,0.0,4,0,1,410599.05,1
679,North India,Female,26,6,0.0,1,1,1,320278.84,0
737,West India,Male,36,10,186430.79,3,1,1,1020524.29,0
774,West India,Male,28,2,394174.9,1,1,0,441106.96,0
694,South India,Male,46,2,0.0,1,1,1,1539213.89,1
572,North India,Female,34,10,1871583.21,1,0,1,218369.16,0
502,West India,Male,26,8,0.0,1,1,1,356507.99,0
683,West India,Male,32,9,231024.26,1,0,0,345088.53,0
613,East India,Male,40,3,92979.98,1,0,0,509553.17,0
765,South India,Male,29,2,244655.82,2,1,1,592500.14,0
607,East India,Male,26,1,416533.73,1,1,0,656682.9,0
648,North India,Female,38,4,0.0,1,0,1,525921.1,0
545,South India,Female,38,8,515318.92,1,0,0,598511.01,1
619,South India,Female,30,7,174736.1,3,0,1,524111.47,0
565,South India,Female,30,7,0.0,2,0,1,791982.74,0
573,South India,Female,38,0,821766.22,1,1,1,1404133.71,0
645,North India,Male,20,8,0.0,1,1,1,491269.0,0
595,West India,Female,20,7,519239.39,2,1,1,748163.45,0
886,South India,Male,28,10,0.0,1,1,1,212331.73,0
725,East India,Male,33,2,1919225.24,2,1,1,682102.75,0
747,North India,Female,39,7,1320877.08,1,1,1,1537883.81,0
640,South India,Female,52,8,3834120.66,2,1,0,1187838.02,0
659,South India,Female,45,1,628124.01,2,0,1,847798.51,0
611,South India,Female,34,0,229498.39,1,1,1,241930.43,0
886,West India,Male,35,0,134645.81,2,1,0,1230132.2,0
640,North India,Female,24,0,1819262.61,2,0,1,1487540.34,0
595,North India,Male,35,4,476250.23,2,0,0,748216.06,1
582,West India,Female,32,1,71785.12,1,0,1,1994685.57,0
680,South India,Female,39,3,240827.94,3,1,1,168238.38,0
777,North India,Female,26,0,863751.48,1,0,0,629590.03,0
747,South India,Male,41,1,254214.15,1,0,1,316268.03,0
581,South India,Male,52,6,122455.79,1,1,1,488940.42,0
579,West India,Male,34,8,817584.23,2,0,0,647903.33,0
762,North India,Male,40,5,2655004.47,2,1,0,434193.89,0
839,South India,Female,43,9,0.0,1,1,0,539948.21,0
636,South India,Female,31,9,474798.86,2,1,1,152008.12,0
758,West India,Female,38,4,5778826.11,1,0,0,951923.57,1
518,West India,Female,36,9,0.0,2,1,0,2021797.61,0
574,South India,Male,37,10,0.0,1,1,0,1370616.26,0
559,North India,Male,27,6,0.0,2,0,1,468178.03,0
687,North India,Male,36,8,184770.63,1,1,0,431869.39,0
633,North India,Female,41,1,235870.85,2,1,1,746461.29,0
671,North India,Female,51,5,420234.17,1,1,0,863545.65,0
759,West India,Female,46,2,74176.23,2,0,1,2791787.78,0
591,West India,Male,59,9,719086.22,1,1,1,1590829.05,0
658,South India,Male,27,9,1263322.45,2,1,0,273555.1,0
529,North India,Female,45,3,0.0,1,1,1,712392.93,0
754,North India,Male,38,4,2055704.96,2,1,1,959487.08,0
748,West India,Female,60,4,235447.62,1,0,1,577510.41,0
682,West India,Male,27,9,548674.68,1,1,1,440674.76,0
660,North India,Male,26,7,0.0,4,1,1,561467.49,0
604,South India,Female,29,4,389258.32,2,0,0,1180015.24,0
524,North India,Male,18,1,376213.93,2,0,0,386552.33,0
677,North India,Female,30,1,692582.64,2,0,1,833145.94,0
718,North India,Female,27,0,0.0,2,1,1,618384.74,0
831,South India,Male,37,1,706522.15,2,1,0,716941.71,0
614,North India,Female,39,0,0.0,1,1,1,374971.34,0
674,North India,Female,56,2,769116.56,4,0,0,510042.55,0
750,North India,Male,46,4,138469.05,1,0,1,411157.72,0
753,North India,Female,29,2,297766.29,1,0,0,717414.69,0
593,West India,Female,26,10,1274663.25,3,1,0,892255.03,1
624,North India,Male,41,6,176376.27,1,1,1,569674.11,0
602,West India,Female,21,9,196220.4,1,1,0,846894.29,0
568,North India,Male,56,10,0.0,2,0,0,997069.06,0
782,North India,Female,48,1,0.0,3,1,1,629620.77,0
655,North India,Female,30,4,0.0,4,1,1,281053.63,0
643,North India,Male,18,2,237727.53,1,0,0,617988.57,0
672,North India,Male,50,1,0.0,1,1,0,748395.42,0
654,North India,Male,34,3,345600.49,2,0,1,611206.45,0
630,West India,Male,49,8,0.0,1,0,1,377400.89,1
581,West India,Female,18,8,0.0,1,0,1,665868.7,0
790,West India,Female,29,5,0.0,2,1,0,939002.88,0
598,North India,Male,36,6,246398.14,1,1,0,476930.61,1
566,South India,Female,36,0,0.0,1,0,0,462474.59,0
642,North India,Female,31,2,371773.61,1,0,1,786509.39,1
844,West India,Female,42,1,0.0,3,1,1,371954.06,0
576,East India,Female,24,8,130583.91,2,0,1,405442.27,0
713,West India,Female,34,9,0.0,3,0,1,696283.19,0
627,North India,Male,37,7,0.0,1,1,1,231038.85,0
672,North India,Male,41,2,130945.21,2,0,0,526158.25,0
732,North India,Female,43,9,0.0,1,1,1,517170.69,0
495,North India,Male,23,7,1479277.0,1,0,0,317528.7,1
569,North India,Male,19,9,1481799.18,1,1,1,498642.22,0
731,North India,Female,50,7,1032325.91,1,1,1,607256.06,0
658,North India,Female,39,10,118360.68,2,1,0,2070299.65,0
669,South India,Male,27,7,715622.75,2,1,1,300779.89,0
714,South India,Male,53,3,0.0,1,1,1,292533.52,1
569,West India,Male,37,6,544211.06,1,0,0,808884.66,0
744,North India,Male,48,9,1573967.87,2,0,0,555441.92,1
723,North India,Male,36,7,0.0,2,1,0,662359.27,0
671,South India,Male,58,9,2677015.32,2,1,0,675750.83,1
692,South India,Male,55,4,290203.04,2,1,0,1565364.83,0
754,North India,Male,33,8,409506.94,2,1,1,928615.01,0
596,West India,Male,46,8,0.0,2,0,1,866782.57,1
709,North India,Male,43,2,1016785.58,1,1,1,939162.8,0
806,South India,Male,51,2,0.0,1,1,1,573129.61,0
707,South India,Male,25,7,1863027.43,1,0,0,338839.62,0
629,North India,Female,43,6,55419.54,2,1,1,626362.39,0
858,South India,Male,47,8,465391.59,1,0,1,891119.08,0
670,South India,Female,18,1,814827.67,2,0,1,842990.37,0
775,North India,Female,22,1,861040.27,2,1,1,362510.26,0
612,East India,Male,18,6,322940.72,2,1,1,709320.41,0
746,North India,Female,33,7,0.0,1,1,0,143269.8,0
600,West India,Male,43,2,782113.44,2,0,0,802782.45,0
679,North India,Male,52,0,203190.25,1,1,0,424707.23,1
595,South India,Male,36,9,196024.65,2,1,1,859744.51,0
821,North India,Male,53,6,1036593.23,2,1,0,487107.25,0
630,West India,Male,20,10,493558.45,1,1,0,354407.94,0
550,West India,Male,18,5,0.0,1,0,0,509901.69,0
658,North India,Female,35,0,914974.02,2,1,0,430172.24,1
698,North India,Female,40,8,181574.2,2,0,1,932153.85,0
647,East India,Male,35,10,0.0,1,1,0,1456804.59,0
576,West India,Male,18,10,0.0,1,0,1,541799.58,0
743,South India,Male,35,10,291423.11,2,0,0,303217.09,0
763,South India,Male,21,5,0.0,2,0,0,448776.22,0
501,West India,Female,43,4,1157790.12,1,1,0,258733.98,0
571,North India,Male,40,2,0.0,2,0,1,553585.0,0
635,West India,Male,25,8,967278.96,1,0,1,575858.27,0
602,South India,Female,30,6,2904864.28,1,1,0,895435.52,0
697,West India,Female,24,3,747977.77,1,1,1,1430667.77,0
815,North India,Male,35,0,219818.55,1,1,1,1142632.32,0
615,South India,Female,46,3,670424.26,1,1,0,1011661.51,0
791,South India,Male,25,2,2803029.48,2,1,1,714874.78,0
517,West India,Male,41,5,0.0,1,0,0,649497.79,0
691,West India,Male,30,10,4609940.2,3,0,0,677255.57,0
596,West India,Male,27,0,325512.19,1,1,1,1157098.31,0
692,West India,Female,34,10,311820.41,2,1,0,690574.39,0
491,South India,Male,24,3,0.0,2,1,1,945552.24,0
534,North India,Male,29,0,161599.17,2,1,0,343523.97,1
692,South India,Male,22,0,549130.13,1,0,0,613190.68,0
593,West India,Male,57,5,227319.25,2,0,0,328687.52,0
620,North India,Female,36,5,172633.93,2,1,1,371974.21,0
